Model Name,Year,Month,Day,Normalization Type,Parallel Layer,Pre-norm,Position Embedding,Activation Function,Stability Tricks,ArXiv/Paper Link,Tokenizer (Vocab Size),MoE,MLP Factor,Number of Layers,Model Dimension
Original Transformer,2017,06,12,LayerNorm,Serial,No (Post-norm),Sinusoidal,ReLU,None,https://arxiv.org/abs/1706.03762,BPE (37000),No,4x,6 encoder + 6 decoder,512
GPT-1,2018,06,11,LayerNorm,Serial,No (Post-norm),Learned Absolute,GeLU,None,https://cdn.openai.com/research-covers/language-unsupervised/language_understanding_paper.pdf,BPE (40478),No,4x,12,768
GPT-2 (1.5B),2019,02,14,LayerNorm,Serial,Yes,Learned Absolute,GeLU,Modified init (1/√N),https://cdn.openai.com/better-language-models/language_models_are_unsupervised_multitask_learners.pdf,Byte-level BPE (50257),No,4x,48,1600
T5 (11B),2019,10,23,Simplified LayerNorm (no bias),Serial,Yes,Relative (learned),ReLU,None,https://arxiv.org/abs/1910.10683,SentencePiece (32128),No,4x,24 encoder + 24 decoder,1024
GPT-3 (175B),2020,05,28,LayerNorm,Serial,Yes,Learned Absolute,GeLU,Modified init; alternating sparse attention,https://arxiv.org/abs/2005.14165,Byte-level BPE (50257),No,4x,96,12288
T5 v1.1 (XXL 11B),2020,10,,Simplified LayerNorm (no bias),Serial,Yes,Relative (learned),GeGLU,None,https://github.com/google-research/text-to-text-transfer-transformer,SentencePiece (32128),No,~8/3,24 encoder + 24 decoder,2048
mT5 (XXL 13B),2020,10,22,Simplified LayerNorm (no bias),Serial,Yes,Relative (learned),GeGLU,None,https://arxiv.org/abs/2010.11934,SentencePiece (250112),No,~8/3,24 encoder + 24 decoder,2048
GPT-J (6B),2021,05,,LayerNorm,Parallel,Yes,RoPE (25% rotary),GeLU,None,https://github.com/kingoflolz/mesh-transformer-jax,GPT-2 BPE (50257),No,4x,28,4096
LaMDA (137B),2021,05,,LayerNorm,Serial,Yes,Relative (T5-style),Gated-GeLU,None,https://arxiv.org/abs/2201.08239,SentencePiece BPE (32000),No,8x,64,8192
Gopher (280B),2021,12,08,RMSNorm,Serial,Yes,Relative (Transformer-XL),GeLU,Lower LR at scale; gradient clip 0.25,https://arxiv.org/abs/2112.11446,SentencePiece (32000),No,4x,80,16384
